en,fr
The Lord Jesus had one reason for coming down from heaven into our world.,Le Seigneur Jésus avait une seule raison de venir du ciel dans notre monde.
That reason was to seek and to save the lost.,Cette raison était de chercher et de sauver les perdus.
"The Bible says, Here is a trustworthy saying that deserves full acceptance: Christ Jesus came into the world to save sinners---of whom I am the worst (1 Timothy 1:15).","La Bible dit : « C'est une parole certaine et entièrement digne d'être reçue, que Jésus-Christ est venu dans le monde pour sauver les pécheurs, dont je suis le premier » (1 Timothée 1:15)."
"The Lord Jesus said, For the Son of man came to seek and to save what was lost (Luke 19:10).",Le Seigneur Jésus avait dit : « Car le Fils de l'homme est venu chercher et sauver ce qui était perdu » (Luc 19:10).
The Lord Jesus came to seek and to save the lost.,Le Seigneur Jésus est venu chercher et sauver les perdus.
He died on the cross for all sinners and thus shed His blood for all men.,Il mourut sur la croix pour tous les pécheurs et versa ainsi Son sang pour tous les hommes.
"Everyone who believes in the Lord Jesus is saved from the consequence of his sin, that is, eternal separation from God in hell.",Quiconque croit au Seigneur Jésus est sauvé de la conséquence de son péché -- l'éternelle séparation d'avec Dieu en enfer.
Everyone who does not believe in the Lord Jesus will go to hell.,Quiconque ne croit pas au Seigneur Jésus ira en enfer.
The one reason why the Lord Jesus did not take you to heaven the day you believed was that you should stay on earth and be His partner in winning the lost.,La seule raison pour laquelle Jésus ne t'a pas pris au ciel le jour où tu as cru est qu'il fallait que tu restes sur terre pour être son partenaire dans le fait de gagner les perdus.
In this book we have given you reasons why you must win the lost.,"Dans ce livre, nous t'avons donné les raisons pour lesquelles tu dois gagner les perdus."
"May the Holy Spirit set your heart on fire as you read the book, so that you will take no rest but give yourself wholeheartedly to the supreme task of winning the lost.","Puisse le Saint-Esprit enflammer ton cœur pendant que tu lis ce livre, de sorte que tu ne prennes aucun repos, mais que tu te donnes de tout cœur à la tâche suprême de gagner les perdus."
Professor Zacharias Tanee Fomum,Professeur Zacharias Tanee Fomum.
The marks of a non soul-winning church,Les marques d'une église qui ne gagne pas les âmes
The seven marks of a non soul-winning church are:,Les sept marques d'une église qui ne gagne pas les âmes sont :
"A soul-winning church has a clear, goal-oriented, soul-winning programme that ensures that the goal in soul-winning is accomplished.",Une église qui gagne les âmes a un programme de gagnement des perdus clair avec un but précis ; ce programme s'assure que le but fixé pour gagner les âmes est accompli.
A soul-winning church has a soul-winning leader.,Une église qui gagne les âmes a un dirigeant pour le gagnement des âmes.
He or she has the gift of evangelism and is charged with the responsibility of ensuring that God's soul-winning programme is accomplished to His highest glory.,Il ou elle a le don d'évangélisation et la responsabilité de s'assurer que le programme de gagnement des âmes de Dieu est accompli à Sa plus grande gloire.
A soul-winning strategy,Une stratégie pour gagner les âmes
Winning abiding fruit -- 1,Gagner du fruit qui demeure - 1
Winning abiding fruit -- 2,Gagner du fruit qui demeure - 2
Qualified for soul-winning,Qualifié pour gagner les âmes

